epoch,batch,loss,val_loss
256,end,0.377010,4.405452
257,0,0.199123,
257,end,0.199123,4.401624
258,0,0.175880,
258,end,0.175880,4.403169
259,0,0.130604,
259,end,0.130604,4.410467
260,0,0.212663,
260,end,0.212663,4.415915
261,0,0.244262,
261,end,0.244262,4.425538
262,0,0.253557,
262,end,0.253557,4.434563
263,0,0.240448,
263,end,0.240448,4.437110
264,0,0.197683,
264,end,0.197683,4.430661
265,0,0.176616,
265,end,0.176616,4.429523
266,0,0.223887,
266,end,0.223887,4.432780
267,0,0.213722,
267,end,0.213722,4.432915
268,0,0.277766,
268,end,0.277766,4.428459
269,0,0.223345,
269,end,0.223345,4.426261
270,0,0.394158,
270,end,0.394158,4.428343
271,0,0.445388,
271,end,0.445388,4.435125
272,0,0.256264,
272,end,0.256264,4.440449
273,0,0.332471,
273,end,0.332471,4.449441
274,0,0.225126,
274,end,0.225126,4.457898
275,0,0.418902,
275,end,0.418902,4.463347
276,0,0.519108,
276,end,0.519108,4.465749
277,0,0.326623,
277,end,0.326623,4.468745
278,0,0.530269,
278,end,0.530269,4.468481
279,0,0.671870,
279,end,0.671870,4.466071
280,0,0.568060,
280,end,0.568060,4.462361
281,0,0.268856,
281,end,0.268856,4.463892
282,0,0.580805,
282,end,0.580805,4.469300
283,0,0.816037,
283,end,0.816037,4.476617
284,0,0.814706,
284,end,0.814706,4.487259
285,0,0.613801,
285,end,0.613801,4.497100
286,0,0.257768,
286,end,0.257768,4.500022
287,0,0.425844,
287,end,0.425844,4.503279
288,0,0.531284,
288,end,0.531284,4.505301
289,0,0.392400,
289,end,0.392400,4.503911
290,0,0.333720,
290,end,0.333720,4.499411
291,0,0.398796,
291,end,0.398796,4.492383
292,0,0.134649,
292,end,0.134649,4.487081
293,0,0.604765,
293,end,0.604765,4.483500
294,0,0.816134,
294,end,0.816134,4.482184
295,0,0.807928,
295,end,0.807928,4.484701
296,0,0.638223,
296,end,0.638223,4.491621
297,0,0.220705,
297,end,0.220705,4.498221
298,0,0.515239,
298,end,0.515239,4.507838
299,0,0.569847,
299,end,0.569847,4.518204
300,0,0.372082,
300,end,0.372082,4.524216
301,0,0.350781,
301,end,0.350781,4.526806
302,0,0.473498,
302,end,0.473498,4.526308
303,0,0.320364,
303,end,0.320364,4.526762
304,0,0.375684,
304,end,0.375684,4.527364
305,0,0.411810,
305,end,0.411810,4.529529
306,0,0.225610,
306,end,0.225610,4.532362
307,0,0.460713,
307,end,0.460713,4.538732
308,0,0.604893,
308,end,0.604893,4.548011
309,0,0.524017,
309,end,0.524017,4.555987
310,0,0.222034,
310,end,0.222034,4.564097
311,0,0.511862,
311,end,0.511862,4.570750
312,0,0.744643,
312,end,0.744643,4.574922
313,0,0.752366,
313,end,0.752366,4.578521
314,0,0.564720,
314,end,0.564720,4.579086
315,0,0.272887,
315,end,0.272887,4.573543
316,0,0.450799,
316,end,0.450799,4.564209
317,0,0.565630,
317,end,0.565630,4.557397
318,0,0.452989,
318,end,0.452989,4.552614
319,0,0.219516,
319,end,0.219516,4.550387
320,0,0.275375,
320,end,0.275375,4.553600
321,0,0.337374,
321,end,0.337374,4.558503
322,0,0.307892,
322,end,0.307892,4.562446
323,0,0.382145,
323,end,0.382145,4.567233
324,0,0.399698,
324,end,0.399698,4.577296
325,0,0.174523,
325,end,0.174523,4.593919
326,0,0.334005,
326,end,0.334005,4.609786
327,0,0.303649,
327,end,0.303649,4.622286
328,0,0.260661,
328,end,0.260661,4.623972
329,0,0.500833,
329,end,0.500833,4.624098
330,0,0.497680,
330,end,0.497680,4.619860
331,0,0.286874,
331,end,0.286874,4.621325
332,0,0.404200,
332,end,0.404200,4.626491
333,0,0.565065,
333,end,0.565065,4.630399
334,0,0.502534,
334,end,0.502534,4.634338
335,0,0.229045,
335,end,0.229045,4.638119
336,0,0.477497,
336,end,0.477497,4.639186
337,0,0.696911,
337,end,0.696911,4.641538
338,0,0.687576,
338,end,0.687576,4.644263
339,0,0.458582,
339,end,0.458582,4.647639
340,0,0.170139,
340,end,0.170139,4.653564
341,0,0.350468,
341,end,0.350468,4.660574
342,0,0.219852,
342,end,0.219852,4.666785
343,0,0.399862,
343,end,0.399862,4.670357
344,0,0.478256,
344,end,0.478256,4.669983
345,0,0.343983,
345,end,0.343983,4.670970
346,0,0.335539,
346,end,0.335539,4.670584
347,0,0.386810,
347,end,0.386810,4.670577
348,0,0.232256,
